logs,labels
"Expiring session 0x24ede63a01b003b, timeout of 10000ms exceeded",O O O O O O O
Processed session termination for sessionid: 0x14ede63a5a70002,O O O O O B-ID
caught end of stream exception,O O O O O
Processed session termination for sessionid: 0x14ede63a5a70002,O O O O O B-ID
Connection request from old client /10.10.34.19:33442; will be dropped if server is in r-o mode,O O O O O B-NET O O O O O O O O O
caught end of stream exception,O O O O O
Closed socket connection for client /10.10.34.18:42772 which had sessionid 0x14ed93111f20005,O O O O O B-NET O O O O
Connection request from old client /10.10.34.19:33442; will be dropped if server is in r-o mode,O O O O O B-NET O O O O O O O O O
Established session 0x14ed93111f20027 with negotiated timeout 10000 for client /10.10.34.13:37177,O O O O O O O O O B-NET
Client attempting to establish new session at /10.10.34.19:33425,O O O O O O O B-NET
Closed socket connection for client /10.10.34.18:42772 which had sessionid 0x14ed93111f20005,O O O O O B-NET O O O O
"Expiring session 0x24ede63a01b003b, timeout of 10000ms exceeded",O O O O O O O
"Expiring session 0x24ede63a01b003b, timeout of 10000ms exceeded",O O O O O O O
******* GOODBYE /10.10.34.12:35276 ********,O O B-NET O
LOOKING,O
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
Interrupting SendWorker,O O
Notification time out: 3200,O O O O
Connection request from old client /10.10.34.19:33442; will be dropped if server is in r-o mode,O O O O O B-NET O O O O O O O O O
Established session 0x14ed93111f20027 with negotiated timeout 10000 for client /10.10.34.13:37177,O O O O O O O O O B-NET
caught end of stream exception,O O O O O
caught end of stream exception,O O O O O
Connection request from old client /10.10.34.19:33442; will be dropped if server is in r-o mode,O O O O O B-NET O O O O O O O O O
Closed socket connection for client /10.10.34.18:42772 which had sessionid 0x14ed93111f20005,O O O O O B-NET O O O O
Accepted socket connection from /10.10.34.13:37196,O O O O B-NET
Connection request from old client /10.10.34.19:33442; will be dropped if server is in r-o mode,O O O O O B-NET O O O O O O O O O
Connection request from old client /10.10.34.19:33442; will be dropped if server is in r-o mode,O O O O O B-NET O O O O O O O O O
My election bind port: 0.0.0.0/0.0.0.0:3888,O O O O B-NET
"Have smaller server identifier, so dropping the connection: (2, 1)",O O O O O O O O O O
FOLLOWING,O
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
LOOKING,O
"New election. My id =  1, proposed zxid=0x700000000",O O O O O B-ID O O
Server environment:user.dir=/,O O
FOLLOWING - LEADER ELECTION TOOK - 49,O O O O O O O
Established session 0x14ed93111f20027 with negotiated timeout 10000 for client /10.10.34.13:37177,O O O O O O O O O B-NET
Accepted socket connection from /10.10.34.13:37196,O O O O B-NET
Client attempting to establish new session at /10.10.34.19:33425,O O O O O O O B-NET
Connection request from old client /10.10.34.19:33442; will be dropped if server is in r-o mode,O O O O O B-NET O O O O O O O O O
Connection request from old client /10.10.34.19:33442; will be dropped if server is in r-o mode,O O O O O B-NET O O O O O O O O O
caught end of stream exception,O O O O O
Established session 0x14ed93111f20027 with negotiated timeout 10000 for client /10.10.34.13:37177,O O O O O O O O O B-NET
Client attempting to establish new session at /10.10.34.19:33425,O O O O O O O B-NET
Closed socket connection for client /10.10.34.18:42772 which had sessionid 0x14ed93111f20005,O O O O O B-NET O O O O
"Notification: 3 (n.leader), 0x700000197 (n.zxid), 0x1 (n.round), LEADING (n.state), 3 (n.sid), 0x7 (n.peerEPoch), LOOKING (my state)",O O O O O O O O O O O O O O O O
FOLLOWING - LEADER ELECTION TOOK - 49,O O O O O O O
Established session 0x14ed93111f20027 with negotiated timeout 10000 for client /10.10.34.13:37177,O O O O O O O O O B-NET
caught end of stream exception,O O O O O
Client attempting to establish new session at /10.10.34.19:33425,O O O O O O O B-NET
Connection request from old client /10.10.34.19:33442; will be dropped if server is in r-o mode,O O O O O B-NET O O O O O O O O O
Closed socket connection for client /10.10.34.18:42772 which had sessionid 0x14ed93111f20005,O O O O O B-NET O O O O
caught end of stream exception,O O O O O
caught end of stream exception,O O O O O
Established session 0x14ed93111f20027 with negotiated timeout 10000 for client /10.10.34.13:37177,O O O O O O O O O B-NET
autopurge.snapRetainCount set to 3,O O O O
Server environment:user.dir=/,O O
Revalidating client: 0x14f05578bd80018,O O O
Established session 0x14ed93111f20027 with negotiated timeout 10000 for client /10.10.34.13:37177,O O O O O O O O O B-NET
Established session 0x14ed93111f20027 with negotiated timeout 10000 for client /10.10.34.13:37177,O O O O O O O O O B-NET
Client attempting to renew session 0x24ed93119420016 at /10.10.34.13:37115,O O O O O O O B-NET
Server environment:user.dir=/,O O
Server environment:user.dir=/,O O
Revalidating client: 0x14f05578bd80018,O O O
caught end of stream exception,O O O O O
Closed socket connection for client /10.10.34.18:42772 which had sessionid 0x14ed93111f20005,O O O O O B-NET O O O O
Received connection request /10.10.34.11:45307,O O O B-NET
Server environment:user.dir=/,O O
Accepted socket connection from /10.10.34.13:37196,O O O O B-NET
Client attempting to establish new session at /10.10.34.19:33425,O O O O O O O B-NET
Closed socket connection for client /10.10.34.11:56471 (no session established for client),O O O O O B-NET O O O O O
Exception causing close of session 0x0 due to java.io.IOException: ZooKeeperServer not running,O O O O O O O O O O O O
"Notification: 2 (n.leader), 0xb00000084 (n.zxid), 0x2 (n.round), LOOKING (n.state), 1 (n.sid), 0xb (n.peerEPoch), LOOKING (my state)",O O O O O O O O O O O O O O O O
"Notification: 3 (n.leader), 0xb0000007b (n.zxid), 0x2 (n.round), LOOKING (n.state), 3 (n.sid), 0xb (n.peerEPoch), FOLLOWING (my state)",O O O O O O O O O O O O O O O O
Established session 0x14ed93111f20027 with negotiated timeout 10000 for client /10.10.34.13:37177,O O O O O O O O O B-NET
Client attempting to establish new session at /10.10.34.19:33425,O O O O O O O B-NET
Accepted socket connection from /10.10.34.13:37196,O O O O B-NET
Established session 0x14ed93111f20027 with negotiated timeout 10000 for client /10.10.34.13:37177,O O O O O O O O O B-NET
Established session 0x14ed93111f20027 with negotiated timeout 10000 for client /10.10.34.13:37177,O O O O O O O O O B-NET
Closed socket connection for client /10.10.34.18:42772 which had sessionid 0x14ed93111f20005,O O O O O B-NET O O O O
caught end of stream exception,O O O O O
Closed socket connection for client /10.10.34.18:42772 which had sessionid 0x14ed93111f20005,O O O O O B-NET O O O O
Connection request from old client /10.10.34.19:33442; will be dropped if server is in r-o mode,O O O O O B-NET O O O O O O O O O
Accepted socket connection from /10.10.34.13:37196,O O O O B-NET
Accepted socket connection from /10.10.34.13:37196,O O O O B-NET
tickTime set to 2000,O O O O
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
Notification time out: 3200,O O O O
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
Notification time out: 3200,O O O O
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
Notification time out: 3200,O O O O
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
Notification time out: 3200,O O O O
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
Notification time out: 3200,O O O O
Notification time out: 3200,O O O O
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
Notification time out: 3200,O O O O
Notification time out: 3200,O O O O
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
Notification time out: 3200,O O O O
Notification time out: 3200,O O O O
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
Notification time out: 3200,O O O O
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
Notification time out: 3200,O O O O
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
Notification time out: 3200,O O O O
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
Notification time out: 3200,O O O O
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
Notification time out: 3200,O O O O
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
Notification time out: 3200,O O O O
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
Notification time out: 3200,O O O O
Notification time out: 3200,O O O O
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
Notification time out: 3200,O O O O
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
Notification time out: 3200,O O O O
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
Notification time out: 3200,O O O O
Notification time out: 3200,O O O O
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
Notification time out: 3200,O O O O
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
Notification time out: 3200,O O O O
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
Notification time out: 3200,O O O O
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
Notification time out: 3200,O O O O
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
Notification time out: 3200,O O O O
Notification time out: 3200,O O O O
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
Notification time out: 3200,O O O O
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
Notification time out: 3200,O O O O
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
Notification time out: 3200,O O O O
Notification time out: 3200,O O O O
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
Notification time out: 3200,O O O O
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
Notification time out: 3200,O O O O
Notification time out: 3200,O O O O
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
"Connection broken for id 188978561024, my id = 1, error =",O O O O B-ID O O O B-ID O O
Cannot open channel to 2 at election address /10.10.34.12:3888,O O O O O O O O B-NET
Server environment:user.dir=/,O O
Unexpected exception causing shutdown while sock still open,O O O O O O O O
Unexpected exception causing shutdown while sock still open,O O O O O O O O
******* GOODBYE /10.10.34.12:35276 ********,O O B-NET O
Unexpected exception causing shutdown while sock still open,O O O O O O O O
Unexpected exception causing shutdown while sock still open,O O O O O O O O
******* GOODBYE /10.10.34.12:35276 ********,O O B-NET O
******* GOODBYE /10.10.34.12:35276 ********,O O B-NET O
******* GOODBYE /10.10.34.12:35276 ********,O O B-NET O
******* GOODBYE /10.10.34.12:35276 ********,O O B-NET O
Unexpected exception causing shutdown while sock still open,O O O O O O O O
******* GOODBYE /10.10.34.12:35276 ********,O O B-NET O
******* GOODBYE /10.10.34.12:35276 ********,O O B-NET O
******* GOODBYE /10.10.34.12:35276 ********,O O B-NET O
******* GOODBYE /10.10.34.12:35276 ********,O O B-NET O
******* GOODBYE /10.10.34.12:35276 ********,O O B-NET O
Unexpected exception causing shutdown while sock still open,O O O O O O O O
Unexpected exception causing shutdown while sock still open,O O O O O O O O
******* GOODBYE /10.10.34.12:35276 ********,O O B-NET O
******* GOODBYE /10.10.34.12:35276 ********,O O B-NET O
******* GOODBYE /10.10.34.12:35276 ********,O O B-NET O
******* GOODBYE /10.10.34.12:35276 ********,O O B-NET O
Unexpected exception causing shutdown while sock still open,O O O O O O O O
******* GOODBYE /10.10.34.12:35276 ********,O O B-NET O
Unexpected exception causing shutdown while sock still open,O O O O O O O O
Unexpected exception causing shutdown while sock still open,O O O O O O O O
Unexpected exception causing shutdown while sock still open,O O O O O O O O
******* GOODBYE /10.10.34.12:35276 ********,O O B-NET O
******* GOODBYE /10.10.34.12:35276 ********,O O B-NET O
******* GOODBYE /10.10.34.12:35276 ********,O O B-NET O
Unexpected exception causing shutdown while sock still open,O O O O O O O O
Interrupting SendWorker,O O
Received connection request /10.10.34.11:45307,O O O B-NET
"Connection broken for id 188978561024, my id = 1, error =",O O O O B-ID O O O B-ID O O
Received connection request /10.10.34.11:45307,O O O B-NET
Interrupting SendWorker,O O
"Connection broken for id 188978561024, my id = 1, error =",O O O O B-ID O O O B-ID O O
Received connection request /10.10.34.11:45307,O O O B-NET
"Connection broken for id 188978561024, my id = 1, error =",O O O O B-ID O O O B-ID O O
Interrupting SendWorker,O O
Interrupting SendWorker,O O
Interrupted while waiting for message on queue,O O O O O O O
Send worker leaving thread,O O O O
Send worker leaving thread,O O O O
Received connection request /10.10.34.11:45307,O O O B-NET
Interrupting SendWorker,O O
Interrupted while waiting for message on queue,O O O O O O O
Received connection request /10.10.34.11:45307,O O O B-NET
Send worker leaving thread,O O O O
"Connection broken for id 188978561024, my id = 1, error =",O O O O B-ID O O O B-ID O O
Interrupting SendWorker,O O
Send worker leaving thread,O O O O
Interrupting SendWorker,O O
"Connection broken for id 188978561024, my id = 1, error =",O O O O B-ID O O O B-ID O O
Send worker leaving thread,O O O O
"Connection broken for id 188978561024, my id = 1, error =",O O O O B-ID O O O B-ID O O
Received connection request /10.10.34.11:45307,O O O B-NET
"Connection broken for id 188978561024, my id = 1, error =",O O O O B-ID O O O B-ID O O
Interrupted while waiting for message on queue,O O O O O O O
"Connection broken for id 188978561024, my id = 1, error =",O O O O B-ID O O O B-ID O O
Interrupting SendWorker,O O
Received connection request /10.10.34.11:45307,O O O B-NET
Interrupting SendWorker,O O
Received connection request /10.10.34.11:45307,O O O B-NET
"Connection broken for id 188978561024, my id = 1, error =",O O O O B-ID O O O B-ID O O
Send worker leaving thread,O O O O
Interrupting SendWorker,O O
Received connection request /10.10.34.11:45307,O O O B-NET
"Connection broken for id 188978561024, my id = 1, error =",O O O O B-ID O O O B-ID O O
Received connection request /10.10.34.11:45307,O O O B-NET
Interrupted while waiting for message on queue,O O O O O O O
"Connection broken for id 188978561024, my id = 1, error =",O O O O B-ID O O O B-ID O O
"Connection broken for id 188978561024, my id = 1, error =",O O O O B-ID O O O B-ID O O
Received connection request /10.10.34.11:45307,O O O B-NET
Send worker leaving thread,O O O O
"Connection broken for id 188978561024, my id = 1, error =",O O O O B-ID O O O B-ID O O
"Connection broken for id 188978561024, my id = 1, error =",O O O O B-ID O O O B-ID O O
Interrupted while waiting for message on queue,O O O O O O O
Interrupting SendWorker,O O
"Connection broken for id 188978561024, my id = 1, error =",O O O O B-ID O O O B-ID O O
Interrupted while waiting for message on queue,O O O O O O O
Interrupted while waiting for message on queue,O O O O O O O
Interrupting SendWorker,O O
Interrupted while waiting for message on queue,O O O O O O O
Interrupted while waiting for message on queue,O O O O O O O
Interrupting SendWorker,O O
Interrupted while waiting for message on queue,O O O O O O O
Interrupted while waiting for message on queue,O O O O O O O
Send worker leaving thread,O O O O
Interrupted while waiting for message on queue,O O O O O O O
Interrupting SendWorker,O O
Interrupted while waiting for message on queue,O O O O O O O
"Connection broken for id 188978561024, my id = 1, error =",O O O O B-ID O O O B-ID O O
Interrupting SendWorker,O O
Interrupting SendWorker,O O
Interrupted while waiting for message on queue,O O O O O O O
Received connection request /10.10.34.11:45307,O O O B-NET
Send worker leaving thread,O O O O
Interrupted while waiting for message on queue,O O O O O O O
Interrupting SendWorker,O O
Interrupted while waiting for message on queue,O O O O O O O
Received connection request /10.10.34.11:45307,O O O B-NET
Received connection request /10.10.34.11:45307,O O O B-NET
"Connection broken for id 188978561024, my id = 1, error =",O O O O B-ID O O O B-ID O O
Interrupting SendWorker,O O
Received connection request /10.10.34.11:45307,O O O B-NET
Interrupted while waiting for message on queue,O O O O O O O
Interrupted while waiting for message on queue,O O O O O O O
"Connection broken for id 188978561024, my id = 1, error =",O O O O B-ID O O O B-ID O O
Send worker leaving thread,O O O O
Send worker leaving thread,O O O O
Interrupted while waiting for message on queue,O O O O O O O
Received connection request /10.10.34.11:45307,O O O B-NET
Send worker leaving thread,O O O O
Interrupting SendWorker,O O
Send worker leaving thread,O O O O
"Connection broken for id 188978561024, my id = 1, error =",O O O O B-ID O O O B-ID O O
Interrupting SendWorker,O O
Received connection request /10.10.34.11:45307,O O O B-NET
Interrupting SendWorker,O O
Received connection request /10.10.34.11:45307,O O O B-NET
Send worker leaving thread,O O O O
"Connection broken for id 188978561024, my id = 1, error =",O O O O B-ID O O O B-ID O O
"Connection broken for id 188978561024, my id = 1, error =",O O O O B-ID O O O B-ID O O
Interrupted while waiting for message on queue,O O O O O O O
Send worker leaving thread,O O O O
Received connection request /10.10.34.11:45307,O O O B-NET
Interrupted while waiting for message on queue,O O O O O O O
Send worker leaving thread,O O O O
Interrupting SendWorker,O O
Received connection request /10.10.34.11:45307,O O O B-NET
Interrupting SendWorker,O O
Interrupted while waiting for message on queue,O O O O O O O
Received connection request /10.10.34.11:45307,O O O B-NET
Received connection request /10.10.34.11:45307,O O O B-NET
"Connection broken for id 188978561024, my id = 1, error =",O O O O B-ID O O O B-ID O O
"Connection broken for id 188978561024, my id = 1, error =",O O O O B-ID O O O B-ID O O
"Connection broken for id 188978561024, my id = 1, error =",O O O O B-ID O O O B-ID O O
Interrupted while waiting for message on queue,O O O O O O O
"Connection broken for id 188978561024, my id = 1, error =",O O O O B-ID O O O B-ID O O
Interrupting SendWorker,O O
Interrupting SendWorker,O O
"Connection broken for id 188978561024, my id = 1, error =",O O O O B-ID O O O B-ID O O
Interrupting SendWorker,O O
Interrupting SendWorker,O O
Interrupting SendWorker,O O
Interrupted while waiting for message on queue,O O O O O O O
Interrupting SendWorker,O O
Received connection request /10.10.34.11:45307,O O O B-NET
Send worker leaving thread,O O O O
"Connection broken for id 188978561024, my id = 1, error =",O O O O B-ID O O O B-ID O O
Send worker leaving thread,O O O O
"Connection broken for id 188978561024, my id = 1, error =",O O O O B-ID O O O B-ID O O
Send worker leaving thread,O O O O
Send worker leaving thread,O O O O
Interrupted while waiting for message on queue,O O O O O O O
Received connection request /10.10.34.11:45307,O O O B-NET
Send worker leaving thread,O O O O
Interrupting SendWorker,O O
Send worker leaving thread,O O O O
Received connection request /10.10.34.11:45307,O O O B-NET
Send worker leaving thread,O O O O
"Connection broken for id 188978561024, my id = 1, error =",O O O O B-ID O O O B-ID O O
Received connection request /10.10.34.11:45307,O O O B-NET
Send worker leaving thread,O O O O
Interrupting SendWorker,O O
Send worker leaving thread,O O O O
"Connection broken for id 188978561024, my id = 1, error =",O O O O B-ID O O O B-ID O O
Received connection request /10.10.34.11:45307,O O O B-NET
Send worker leaving thread,O O O O
Send worker leaving thread,O O O O
Received connection request /10.10.34.11:45307,O O O B-NET
Received connection request /10.10.34.11:45307,O O O B-NET
Received connection request /10.10.34.11:45307,O O O B-NET
"Connection broken for id 188978561024, my id = 1, error =",O O O O B-ID O O O B-ID O O
"Connection broken for id 188978561024, my id = 1, error =",O O O O B-ID O O O B-ID O O
Interrupting SendWorker,O O
"Connection broken for id 188978561024, my id = 1, error =",O O O O B-ID O O O B-ID O O
Send worker leaving thread,O O O O
Send worker leaving thread,O O O O
Interrupting SendWorker,O O
"Connection broken for id 188978561024, my id = 1, error =",O O O O B-ID O O O B-ID O O
Interrupted while waiting for message on queue,O O O O O O O
Interrupted while waiting for message on queue,O O O O O O O
Send worker leaving thread,O O O O
Interrupting SendWorker,O O
Send worker leaving thread,O O O O
Interrupting SendWorker,O O
"Connection broken for id 188978561024, my id = 1, error =",O O O O B-ID O O O B-ID O O
Received connection request /10.10.34.11:45307,O O O B-NET
Interrupted while waiting for message on queue,O O O O O O O
"Connection broken for id 188978561024, my id = 1, error =",O O O O B-ID O O O B-ID O O
Send worker leaving thread,O O O O
Interrupted while waiting for message on queue,O O O O O O O
Received connection request /10.10.34.11:45307,O O O B-NET
Interrupted while waiting for message on queue,O O O O O O O
Received connection request /10.10.34.11:45307,O O O B-NET
Received connection request /10.10.34.11:45307,O O O B-NET
Received connection request /10.10.34.11:45307,O O O B-NET
Received connection request /10.10.34.11:45307,O O O B-NET
Send worker leaving thread,O O O O
Interrupted while waiting for message on queue,O O O O O O O
Received connection request /10.10.34.11:45307,O O O B-NET
Interrupted while waiting for message on queue,O O O O O O O
Interrupting SendWorker,O O
Interrupted while waiting for message on queue,O O O O O O O
Received connection request /10.10.34.11:45307,O O O B-NET
Send worker leaving thread,O O O O
Interrupted while waiting for message on queue,O O O O O O O
Send worker leaving thread,O O O O
"Connection broken for id 188978561024, my id = 1, error =",O O O O B-ID O O O B-ID O O
"Connection broken for id 188978561024, my id = 1, error =",O O O O B-ID O O O B-ID O O
Interrupting SendWorker,O O
Interrupted while waiting for message on queue,O O O O O O O
Send worker leaving thread,O O O O
Interrupted while waiting for message on queue,O O O O O O O
Received connection request /10.10.34.11:45307,O O O B-NET
Send worker leaving thread,O O O O
"Connection broken for id 188978561024, my id = 1, error =",O O O O B-ID O O O B-ID O O
Received connection request /10.10.34.11:45307,O O O B-NET
Send worker leaving thread,O O O O
Received connection request /10.10.34.11:45307,O O O B-NET
"Connection broken for id 188978561024, my id = 1, error =",O O O O B-ID O O O B-ID O O
Received connection request /10.10.34.11:45307,O O O B-NET
"Connection broken for id 188978561024, my id = 1, error =",O O O O B-ID O O O B-ID O O
"Connection broken for id 188978561024, my id = 1, error =",O O O O B-ID O O O B-ID O O
"Connection broken for id 188978561024, my id = 1, error =",O O O O B-ID O O O B-ID O O
Received connection request /10.10.34.11:45307,O O O B-NET
Interrupted while waiting for message on queue,O O O O O O O
Interrupting SendWorker,O O
Received connection request /10.10.34.11:45307,O O O B-NET
Received connection request /10.10.34.11:45307,O O O B-NET
Interrupted while waiting for message on queue,O O O O O O O
Interrupting SendWorker,O O
Send worker leaving thread,O O O O
Send worker leaving thread,O O O O
Send worker leaving thread,O O O O
Interrupted while waiting for message on queue,O O O O O O O
Received connection request /10.10.34.11:45307,O O O B-NET
Interrupting SendWorker,O O
Interrupting SendWorker,O O
Interrupted while waiting for message on queue,O O O O O O O
Send worker leaving thread,O O O O
Interrupting SendWorker,O O
"Connection broken for id 188978561024, my id = 1, error =",O O O O B-ID O O O B-ID O O
Received connection request /10.10.34.11:45307,O O O B-NET
Received connection request /10.10.34.11:45307,O O O B-NET
Interrupted while waiting for message on queue,O O O O O O O
"Connection broken for id 188978561024, my id = 1, error =",O O O O B-ID O O O B-ID O O
Interrupting SendWorker,O O
Interrupted while waiting for message on queue,O O O O O O O
Interrupted while waiting for message on queue,O O O O O O O
Interrupted while waiting for message on queue,O O O O O O O
"Connection broken for id 188978561024, my id = 1, error =",O O O O B-ID O O O B-ID O O
Received connection request /10.10.34.11:45307,O O O B-NET
Received connection request /10.10.34.11:45307,O O O B-NET
"Connection broken for id 188978561024, my id = 1, error =",O O O O B-ID O O O B-ID O O
Interrupted while waiting for message on queue,O O O O O O O
Send worker leaving thread,O O O O
Send worker leaving thread,O O O O
Send worker leaving thread,O O O O
Interrupting SendWorker,O O
Interrupting SendWorker,O O
Interrupting SendWorker,O O
"Connection broken for id 188978561024, my id = 1, error =",O O O O B-ID O O O B-ID O O
Interrupting SendWorker,O O
Interrupted while waiting for message on queue,O O O O O O O
Send worker leaving thread,O O O O
Received connection request /10.10.34.11:45307,O O O B-NET
"Connection broken for id 188978561024, my id = 1, error =",O O O O B-ID O O O B-ID O O
Send worker leaving thread,O O O O
Received connection request /10.10.34.11:45307,O O O B-NET
Send worker leaving thread,O O O O
Send worker leaving thread,O O O O
Interrupting SendWorker,O O
Interrupted while waiting for message on queue,O O O O O O O
Interrupted while waiting for message on queue,O O O O O O O
Interrupting SendWorker,O O
"Connection broken for id 188978561024, my id = 1, error =",O O O O B-ID O O O B-ID O O
Interrupting SendWorker,O O
Received connection request /10.10.34.11:45307,O O O B-NET
"Connection broken for id 188978561024, my id = 1, error =",O O O O B-ID O O O B-ID O O
Send worker leaving thread,O O O O
Interrupting SendWorker,O O
"Connection broken for id 188978561024, my id = 1, error =",O O O O B-ID O O O B-ID O O
Send worker leaving thread,O O O O
Interrupting SendWorker,O O
Received connection request /10.10.34.11:45307,O O O B-NET
Interrupted while waiting for message on queue,O O O O O O O
